epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.759,0.7149,3.06305,1.05752,0.00885,1,0.46581,0.38105,0.65155,3.26808,1.12265,7.145e-05,7.145e-05,7.145e-05
2,583.181,0.59364,2.53468,1.0195,0.01286,1,0.54214,0.43175,0.66886,3.05669,1.19441,0.000154078,0.000154078,0.000154078
3,818.644,0.55471,1.80719,1.00014,0.97474,0.3,0.55901,0.47445,0.6556,2.59578,1.12263,0.00023331,0.00023331,0.00023331
4,1075.95,0.52791,1.51647,1.00084,0.95076,0.26667,0.71032,0.59463,0.6553,2.51506,1.06649,0.000309147,0.000309147,0.000309147
5,1473.2,0.53445,1.28399,0.97895,1,0.44341,0.71778,0.62013,0.57781,2.51571,1.04358,0.000381589,0.000381589,0.000381589
6,1883.31,0.58239,1.24647,0.99486,0.66667,0.45146,0.71172,0.60799,0.73553,2.57655,1.23498,0.000450635,0.000450635,0.000450635
7,2882.87,0.55564,1.18723,1.0049,0.89423,0.61905,0.76188,0.62775,0.71641,2.20495,1.23779,0.000516286,0.000516286,0.000516286
8,3512.61,0.56188,1.04151,0.96689,0.86226,0.72058,0.84809,0.68703,0.72435,1.85274,1.18847,0.000578542,0.000578542,0.000578542
9,3718.06,0.5753,1.04094,1.00825,0.85578,0.83325,0.90549,0.77471,0.58056,1.73757,1.01977,0.000637403,0.000637403,0.000637403
10,3924.43,0.55027,1.04079,0.96388,0.8821,0.81434,0.91556,0.71065,0.69226,1.91654,1.038,0.000692868,0.000692868,0.000692868
11,4112.48,0.57266,1.0266,0.99191,0.80725,0.7463,0.82013,0.70333,0.72244,1.92029,1.05466,0.000744938,0.000744938,0.000744938
12,4288.33,0.60972,1.04464,1.02656,0.83835,0.62827,0.83092,0.65439,0.71752,2.15053,1.13535,0.000793612,0.000793612,0.000793612
13,4460.5,0.53467,0.95217,0.97248,0.8594,0.70389,0.87439,0.70678,0.71485,1.89124,1.17335,0.000838892,0.000838892,0.000838892
14,4697.05,0.55904,0.9895,0.99079,0.89825,0.84861,0.9028,0.70376,0.75873,1.75258,1.24562,0.000880776,0.000880776,0.000880776
15,4870.81,0.57239,0.96604,0.97984,0.9078,0.85255,0.90355,0.64144,0.91061,1.75564,1.32937,0.000919264,0.000919264,0.000919264
16,5030.1,0.51998,0.89699,0.93109,0.84227,0.772,0.90715,0.64424,0.82908,1.35328,1.2867,0.000954358,0.000954358,0.000954358
17,5183.68,0.52973,0.87992,0.97446,0.81163,0.75,0.82039,0.65889,0.81035,1.4252,1.27712,0.000976293,0.000976293,0.000976293
18,5340.31,0.56373,0.91068,0.99685,0.87053,0.78571,0.88044,0.70253,0.65963,1.29492,1.0855,0.000947999,0.000947999,0.000947999
19,5489.74,0.54184,0.89847,0.95879,0.92075,0.78128,0.89657,0.71699,0.6853,1.27213,1.08518,0.000919704,0.000919704,0.000919704
20,5659.19,0.51986,0.83087,0.94239,0.68496,0.89053,0.93917,0.70991,0.70485,1.16485,1.0857,0.00089141,0.00089141,0.00089141
21,5820.99,0.52396,0.81723,0.95612,0.791,0.75,0.91972,0.70762,0.73222,1.22512,1.09806,0.000863116,0.000863116,0.000863116
22,5981.08,0.51307,0.78739,0.95438,0.95762,0.66667,0.92,0.71607,0.72458,1.22808,1.12131,0.000834822,0.000834822,0.000834822
23,6152.91,0.49145,0.76752,0.92965,0.75941,0.83333,0.92114,0.71525,0.73909,1.18116,1.14154,0.000806528,0.000806528,0.000806528
24,6315.36,0.48054,0.7398,0.95098,0.90468,0.91167,0.95929,0.77451,0.68755,1.02914,1.15639,0.000778233,0.000778233,0.000778233
25,6474.62,0.45751,0.7622,0.92573,0.9301,0.90954,0.93917,0.74505,0.68218,1.08226,1.16446,0.000749939,0.000749939,0.000749939
